num queries,brute force,kdtree cpu,kdtree cpu accuracy,priority queue,priority queue accuracy
10,1.64900,0.51200,100.00,7.46300,100.00
20,3.36300,0.86100,100.00,13.90500,100.00
40,5.80100,1.89300,100.00,27.93100,100.00
80,12.19500,3.75000,100.00,57.95800,100.00
160,23.68500,7.15900,100.00,112.02100,100.00
320,48.25800,13.01700,100.00,222.55500,100.00
640,101.37700,28.82400,100.00,472.90100,100.00
1280,228.63600,64.72700,100.00,1119.87300,100.00
2560,452.60300,124.43900,100.00,2281.83300,100.00
5120,981.70600,266.41300,100.00,4655.94800,100.00
10240,1681.14500,434.25800,100.00,8905.59300,100.00
